RegionName,Date,HomeValue,MORTGAGE30US
"New York, NY",2000-01,220241.02264268303,8.21
"Los Angeles, CA",2000-01,225669.8112073566,8.21
"Chicago, IL",2000-01,156798.6180563425,8.21
"Houston, TX",2000-01,126188.7109924417,8.21
"Washington, DC",2000-01,184336.23751819055,8.21
"Philadelphia, PA",2000-01,124522.97423574388,8.21
"Miami, FL",2000-01,115661.35748398332,8.21
"Atlanta, GA",2000-01,151511.8159603284,8.21
"Boston, MA",2000-01,224029.1100324985,8.21
"San Francisco, CA",2000-01,296066.3358901604,8.21
"Riverside, CA",2000-01,138531.03552278207,8.21
"Detroit, MI",2000-01,125827.45648424,8.21
"Seattle, WA",2000-01,227412.99178379268,8.21
"Minneapolis, MN",2000-01,148962.21220894356,8.21
"San Diego, CA",2000-01,220332.310673044,8.21
"Tampa, FL",2000-01,102701.05150731948,8.21
"Denver, CO",2000-01,192818.48796465495,8.21
"Baltimore, MD",2000-01,145437.30588429223,8.21
"St. Louis, MO",2000-01,116538.94038664468,8.21
"Orlando, FL",2000-01,120680.50279592683,8.21
"Charlotte, NC",2000-01,146450.33723203908,8.21
"San Antonio, TX",2000-01,116220.03285630984,8.21
"Portland, OR",2000-01,177205.24000210693,8.21
"Sacramento, CA",2000-01,171921.12123602905,8.21
"Pittsburgh, PA",2000-01,89697.45412576561,8.21
"Cincinnati, OH",2000-01,130903.0955121328,8.21
"Austin, TX",2000-01,179469.96070928764,8.21
"Las Vegas, NV",2000-01,156979.13277093833,8.21
"Kansas City, MO",2000-01,115108.74998937787,8.21
"Columbus, OH",2000-01,129505.43523170076,8.21
"Cleveland, OH",2000-01,120397.33242663686,8.21
"Nashville, TN",2000-01,145090.19488715866,8.21
"Virginia Beach, VA",2000-01,120450.54718547914,8.21
"Providence, RI",2000-01,144000.99556652177,8.21
"Jacksonville, FL",2000-01,116324.62020880214,8.21
"Milwaukee, WI",2000-01,148950.88789680685,8.21
"Oklahoma City, OK",2000-01,93639.82989423382,8.21
"Raleigh, NC",2000-01,175361.6017445973,8.21
"Memphis, TN",2000-01,117154.92997735646,8.21
"Louisville, KY",2000-01,114112.2771742855,8.21
"New Orleans, LA",2000-01,140444.93980366635,8.21
"Salt Lake City, UT",2000-01,178082.79696789497,8.21
"Hartford, CT",2000-01,150707.76951775624,8.21
"Buffalo, NY",2000-01,90031.86049215596,8.21
"Birmingham, AL",2000-01,114449.6054984103,8.21
"Rochester, NY",2000-01,104133.62215579725,8.21
"Grand Rapids, MI",2000-01,125751.09459865106,8.21
"Urban Honolulu, HI",2000-01,223382.5600881615,8.21
"Tulsa, OK",2000-01,103238.91798190412,8.21
"Fresno, CA",2000-01,113891.9227658711,8.21
"Worcester, MA",2000-01,162055.79847026485,8.21
"Omaha, NE",2000-01,122931.16517199004,8.21
"Bridgeport, CT",2000-01,265058.9527891887,8.21
"Greenville, SC",2000-01,121005.06120383625,8.21
"Bakersfield, CA",2000-01,99508.81159239786,8.21
"Albany, NY",2000-01,118896.748587214,8.21
"Knoxville, TN",2000-01,107500.89090343656,8.21
"New Haven, CT",2000-01,147342.6282676086,8.21
"El Paso, TX",2000-01,100092.9088868702,8.21
"Allentown, PA",2000-01,120192.41577560097,8.21
"Oxnard, CA",2000-01,264969.69652508304,8.21
"North Port, FL",2000-01,134031.6970567568,8.21
"Charleston, SC",2000-01,133456.12934098457,8.21
"Greensboro, NC",2000-01,112092.17449835347,8.21
"Stockton, CA",2000-01,165634.03720801408,8.21
"Cape Coral, FL",2000-01,129645.11606851238,8.21
"Colorado Springs, CO",2000-01,166704.73797791082,8.21
"Akron, OH",2000-01,110457.53126992284,8.21
"Des Moines, IA",2000-01,118316.06086017954,8.21
"Springfield, MA",2000-01,129553.573410116,8.21
"Ogden, UT",2000-01,162671.63162356766,8.21
"Madison, WI",2000-01,153355.49602852514,8.21
"Winston, NC",2000-01,118889.41809820362,8.21
"Deltona, FL",2000-01,102328.3457435206,8.21
"Syracuse, NY",2000-01,79769.6232665752,8.21
"Toledo, OH",2000-01,86673.91692461314,8.21
"Augusta, GA",2000-01,98756.31454117896,8.21
"Palm Bay, FL",2000-01,107251.73444518085,8.21
"Harrisburg, PA",2000-01,119692.7317622225,8.21
"Spokane, WA",2000-01,125048.45651719005,8.21
"Scranton, PA",2000-01,87034.54224395573,8.21
"Chattanooga, TN",2000-01,119548.0456139918,8.21
"Modesto, CA",2000-01,145169.58969261308,8.21
"Portland, ME",2000-01,139941.46314771203,8.21
"Youngstown, OH",2000-01,81079.80713337698,8.21
"Lansing, MI",2000-01,98091.60283778857,8.21
"Fayetteville, NC",2000-01,113905.4094183529,8.21
"Lexington, KY",2000-01,126613.56384832464,8.21
"Pensacola, FL",2000-01,112470.07910672254,8.21
"Santa Rosa, CA",2000-01,266377.4996300747,8.21
"Reno, NV",2000-01,180839.30972003716,8.21
"Port St. Lucie, FL",2000-01,104836.9223929906,8.21
"Visalia, CA",2000-01,107732.9577394219,8.21
"Asheville, NC",2000-01,120006.51728139016,8.21
"Vallejo, CA",2000-01,188231.22231822237,8.21
"Santa Maria, CA",2000-01,274768.6642441935,8.21
"Salinas, CA",2000-01,262635.4752247274,8.21
"Salem, OR",2000-01,145751.67090857725,8.21
"Mobile, AL",2000-01,92814.87504663732,8.21
"Reading, PA",2000-01,105632.68313572,8.21
"Manchester, NH",2000-01,148750.45891757146,8.21
"Salisbury, MD",2000-01,136600.46599762893,8.21
"Canton, OH",2000-01,93709.54895268651,8.21
"Savannah, GA",2000-01,121985.9225723452,8.21
"Trenton, NJ",2000-01,152393.3597615793,8.21
"Montgomery, AL",2000-01,118809.42732384696,8.21
"Tallahassee, FL",2000-01,112866.43130063164,8.21
"Eugene, OR",2000-01,150819.18841063947,8.21
"Ann Arbor, MI",2000-01,184874.31681614177,8.21
"Hickory, NC",2000-01,94893.56060351596,8.21
"Fort Collins, CO",2000-01,195944.98646635073,8.21
"Rockford, IL",2000-01,78672.55133252934,8.21
"Lincoln, NE",2000-01,122024.8313607107,8.21
"Gainesville, FL",2000-01,107089.20414722463,8.21
"Boulder, CO",2000-01,232359.92074970104,8.21
"Greeley, CO",2000-01,177933.7946590324,8.21
"Clarksville, TN",2000-01,113481.83529374049,8.21
"Evansville, IN",2000-01,97711.52276827562,8.21
"Kingsport, TN",2000-01,94859.51666509554,8.21
"Utica, NY",2000-01,67122.84045470195,8.21
"Hagerstown, MD",2000-01,129167.75370120218,8.21
"San Luis Obispo, CA",2000-01,208022.58035767157,8.21
"Crestview, FL",2000-01,148031.4899136057,8.21
"Cedar Rapids, IA",2000-01,114025.086970583,8.21
"Atlantic City, NJ",2000-01,111377.30569205905,8.21
"Bremerton, WA",2000-01,161059.81249794882,8.21
"Santa Cruz, CA",2000-01,299358.92669027875,8.21
"Erie, PA",2000-01,90252.76701830485,8.21
"Norwich, CT",2000-01,152854.188244225,8.21
"Tuscaloosa, AL",2000-01,105298.97567701704,8.21
"Kalamazoo, MI",2000-01,125253.34167382872,8.21
"Lynchburg, VA",2000-01,111762.22650562043,8.21
"Charleston, WV",2000-01,83404.3212647979,8.21
"Binghamton, NY",2000-01,68402.33468039712,8.21
"Fort Smith, AR",2000-01,88138.35728210157,8.21
"Topeka, KS",2000-01,82657.68421248592,8.21
"Macon, GA",2000-01,90911.59627057568,8.21
"Barnstable Town, MA",2000-01,198362.1661490075,8.21
"Daphne, AL",2000-01,134183.58202590805,8.21
"Burlington, VT",2000-01,138334.24928585096,8.21
"Rochester, MN",2000-01,126637.18218162472,8.21
"Lafayette, IN",2000-01,107873.07513787432,8.21
"Medford, OR",2000-01,152539.179081034,8.21
"Hilton Head Island, SC",2000-01,188005.55834114228,8.21
"Athens, GA",2000-01,133289.8996585828,8.21
"Lake Havasu City, AZ",2000-01,99579.86058391564,8.21
"Johnson City, TN",2000-01,92037.76717449076,8.21
"Gainesville, GA",2000-01,145009.3653755052,8.21
"Saginaw, MI",2000-01,79108.17451753002,8.21
"Warner Robins, GA",2000-01,110192.89349949655,8.21
"Torrington, CT",2000-01,151988.15303947704,8.21
"Punta Gorda, FL",2000-01,89055.82826651134,8.21
"Redding, CA",2000-01,113203.57830465162,8.21
"Kingston, NY",2000-01,118342.7043945634,8.21
"Panama City, FL",2000-01,111199.94422338188,8.21
"Jackson, TN",2000-01,98077.47350425532,8.21
"Bowling Green, KY",2000-01,99947.5458513259,8.21
"Muskegon, MI",2000-01,89147.43003725987,8.21
"Bloomington, IL",2000-01,139668.8571559554,8.21
"Pueblo, CO",2000-01,107547.4533587996,8.21
"Blacksburg, VA",2000-01,97292.09077956766,8.21
"Kahului, HI",2000-01,195912.5076026363,8.21
"Sebastian, FL",2000-01,116252.68739643529,8.21
"Vineland, NJ",2000-01,101394.3055900088,8.21
"Idaho Falls, ID",2000-01,113814.02008375124,8.21
"Grand Junction, CO",2000-01,142568.7022866938,8.21
"Niles, MI",2000-01,116375.41437278416,8.21
"Monroe, MI",2000-01,146925.52839087867,8.21
"Concord, NH",2000-01,125628.82920051838,8.21
"Traverse City, MI",2000-01,125938.66369097724,8.21
"Bangor, ME",2000-01,83776.33186020232,8.21
"Homosassa Springs, FL",2000-01,89580.60124985514,8.21
"London, KY",2000-01,60908.831246039714,8.21
"Flagstaff, AZ",2000-01,151138.66808676554,8.21
"Rocky Mount, NC",2000-01,86032.88797149083,8.21
"Winchester, VA",2000-01,119867.5911557964,8.21
"Wheeling, WV",2000-01,55269.38531894398,8.21
"Napa, CA",2000-01,255796.6627702296,8.21
"Springfield, OH",2000-01,75301.6354253666,8.21
"Battle Creek, MI",2000-01,82758.5468670454,8.21
"Jonesboro, AR",2000-01,89516.33644610329,8.21
"Pittsfield, MA",2000-01,131958.46402876513,8.21
"Mount Vernon, WA",2000-01,156318.06739796256,8.21
